"";"dfBloco0";"dfBlocoI";"dfBlocoII";"dfBlocoIII"
"AN_BASE";"AN_BASE";"AN_BASE";"AN_BASE";"AN_BASE"
"CD_PROGRAMA";"CD_PROGRAMA";"CD_PROGRAMA";"CD_PROGRAMA";"CD_PROGRAMA"
"NM_REGIAO";"NM_REGIAO";"NM_REGIAO";"NM_REGIAO";"NM_REGIAO"
"SG_UF_IES";"SG_UF_IES";"SG_UF_IES";"SG_UF_IES";"SG_UF_IES"
"SG_ENTIDADE_ENSINO";"SG_ENTIDADE_ENSINO";"SG_ENTIDADE_ENSINO";"SG_ENTIDADE_ENSINO";"SG_ENTIDADE_ENSINO"
"NM_ENTIDADE_ENSINO";"NM_ENTIDADE_ENSINO";"NM_ENTIDADE_ENSINO";"NM_ENTIDADE_ENSINO";"NM_ENTIDADE_ENSINO"
"NM_PROGRAMA";"NM_PROGRAMA";"NM_PROGRAMA";"NM_PROGRAMA";"NM_PROGRAMA"
"CD_GRANDE_AREA_CONHECIMENTO";"CD_GRANDE_AREA_CONHECIMENTO";"CD_GRANDE_AREA_CONHECIMENTO";"CD_GRANDE_AREA_CONHECIMENTO";"CD_GRANDE_AREA_CONHECIMENTO"
"NM_GRANDE_AREA_CONHECIMENTO";"NM_GRANDE_AREA_CONHECIMENTO";"NM_GRANDE_AREA_CONHECIMENTO";"NM_GRANDE_AREA_CONHECIMENTO";"NM_GRANDE_AREA_CONHECIMENTO"
"CD_AREA_CONHECIMENTO";"CD_AREA_CONHECIMENTO";"CD_AREA_CONHECIMENTO";"CD_AREA_CONHECIMENTO";"CD_AREA_CONHECIMENTO"
"NM_AREA_CONHECIMENTO";"NM_AREA_CONHECIMENTO";"NM_AREA_CONHECIMENTO";"NM_AREA_CONHECIMENTO";"NM_AREA_CONHECIMENTO"
"NM_AREA_AVALIACAO";"NM_AREA_AVALIACAO";"NM_AREA_AVALIACAO";"NM_AREA_AVALIACAO";"NM_AREA_AVALIACAO"
"NM_DISCENTE";"NM_DISCENTE";"NM_DISCENTE";"NM_DISCENTE";"NM_DISCENTE"
"NM_PRODUCAO";"NM_PRODUCAO";"NM_PRODUCAO";"NM_PRODUCAO";"NM_PRODUCAO"
